"year","month","date","close","high","low","open","volume"
"1992",Feb,"1992-02-01",633.47,646.09,617.08,620.57,"4219570000"
"1992",Mar,"1992-03-01",603.77,637.21,599.6,634.04,"4048220000"
"1992",Apr,"1992-04-01",578.68,603.17,557.06,598.62,"3946710000"
"1992",May,"1992-05-01",585.31,591.21,571.01,579.73,"3114980000"
"1992",Jun,"1992-06-01",563.6,591.07,545.95,583.67,"3589630000"
"1992",Jul,"1992-07-01",580.83,581.01,553.76,563.73,"3591650000"
"1992",Aug,"1992-08-01",563.12,583.84,550.36,579.62,"3083350000"
"1992",Sep,"1992-09-01",583.27,594.21,562.36,562.51,"3700770000"
"1992",Oct,"1992-10-01",605.17,606.58,551.72,581.08,"4223690000"
"1992",Nov,"1992-11-01",652.73,652.75,603.31,603.76,"4404630000"
"1992",Dec,"1992-12-01",676.95,676.95,648.75,650.58,"4949710000"
"1993",Jan,"1993-01-01",696.34,711.03,670.51,675.31,"5187460000"
"1993",Feb,"1993-02-01",670.77,711.28,647.79,697.98,"4973610000"
"1993",Mar,"1993-03-01",690.13,697.41,668.74,670.88,"5119150000"
"1993",Apr,"1993-04-01",661.42,691.15,644.71,690.82,"4887000000"
"1993",May,"1993-05-01",700.53,707.05,661.43,662.75,"5106460000"
"1993",Jun,"1993-06-01",703.95,706.63,682.89,700.96,"5371310000"
"1993",Jul,"1993-07-01",704.7,713.96,694.53,702.01,"5191300000"
"1993",Aug,"1993-08-01",742.84,742.91,705.06,706.38,"5712060000"
"1993",Sep,"1993-09-01",762.78,766.57,724.48,743.65,"5776680000"
"1993",Oct,"1993-10-01",779.26,791.2,758.9,761.62,"6700790000"
"1993",Nov,"1993-11-01",754.39,786.1,737.67,780.37,"6246880000"
"1993",Dec,"1993-12-01",776.8,776.87,750.3,759.9,"6225130000"
"1994",Jan,"1994-01-01",800.47,800.63,768.41,774.11,"6683340000"
"1994",Feb,"1994-02-01",792.5,799.99,767.3,798.42,"5993960000"
"1994",Mar,"1994-03-01",743.46,804.43,731.85,792.1,"7321980000"
"1994",Apr,"1994-04-01",733.84,755.35,703.4,723.06,"5623380000"
"1994",May,"1994-05-01",735.19,742.46,703.84,733.97,"5743170000"
"1994",Jun,"1994-06-01",705.96,744.94,690.95,733.18,"6016150000"
"1994",Jul,"1994-07-01",722.16,725.19,699.41,706.29,"5335860000"
"1994",Aug,"1994-08-01",765.62,767.6,715.91,722.84,"6695930000"
"1994",Sep,"1994-09-01",764.29,779.58,752.49,763.0,"5964610000"
"1994",Oct,"1994-10-01",777.49,778.81,737.62,764.47,"6625590000"
"1994",Nov,"1994-11-01",750.32,776.86,728.78,776.25,"6188120000"
"1994",Dec,"1994-12-01",751.96,751.98,710.94,748.83,"6169730000"
"1995",Jan,"1995-01-01",755.2,774.31,740.47,751.31,"6429730000"
"1995",Feb,"1995-02-01",793.73,796.02,756.68,756.68,"6206060000"
"1995",Mar,"1995-03-01",817.21,829.92,790.35,794.33,"7600900000"
"1995",Apr,"1995-04-01",843.98,844.42,810.89,816.06,"6910700000"
"1995",May,"1995-05-01",864.58,885.92,839.43,844.72,"8133750000"
"1995",Jun,"1995-06-01",933.45,941.17,863.84,865.67,"8795140000"
"1995",Jul,"1995-07-01",1001.21,1023.03,931.99,933.99,"9056140000"
"1995",Aug,"1995-08-01",1020.11,1035.19,970.81,1001.57,"9872930000"
"1995",Sep,"1995-09-01",1043.54,1070.23,1008.44,1019.42,"8983540000"
"1995",Oct,"1995-10-01",1036.06,1050.65,959.36,1041.39,"9660490000"
"1995",Nov,"1995-11-01",1059.2,1068.81,1016.58,1037.3,"9544310000"
"1995",Dec,"1995-12-01",1052.13,1074.85,1001.53,1060.66,"9972500000"
"1996",Jan,"1996-01-01",1059.79,1059.81,977.79,1052.83,"11326210000"
"1996",Feb,"1996-02-01",1100.05,1121.89,1057.82,1058.26,"10690430000"
"1996",Mar,"1996-03-01",1101.4,1119.84,1057.87,1098.94,"10648850000"
"1996",Apr,"1996-04-01",1190.52,1190.87,1092.44,1105.77,"11951730000"
"1996",May,"1996-05-01",1243.43,1252.81,1163.21,1190.48,"14550600000"
"1996",Jun,"1996-06-01",1185.02,1254.12,1147.75,1242.54,"11479100000"
"1996",Jul,"1996-07-01",1080.59,1198.04,1008.44,1185.64,"11807920000"
"1996",Aug,"1996-08-01",1141.5,1153.9,1080.41,1081.34,"9696450000"
"1996",Sep,"1996-09-01",1226.92,1237.26,1123.14,1133.3,"10646990000"
"1996",Oct,"1996-10-01",1221.51,1269.62,1202.36,1223.73,"12543840000"
"1996",Nov,"1996-11-01",1292.61,1293.75,1218.23,1223.72,"10973580000"
"1996",Dec,"1996-12-01",1291.03,1328.95,1251.03,1294.78,"11852910000"
"1997",Jan,"1997-01-01",1379.85,1400.53,1272.34,1292.65,"14074400000"
"1997",Feb,"1997-02-01",1309.0,1384.51,1296.88,1383.97,"12037800000"
"1997",Mar,"1997-03-01",1221.7,1332.34,1220.4,1306.21,"11834210000"
"1997",Apr,"1997-04-01",1260.76,1267.41,1194.16,1211.28,"12452400000"
"1997",May,"1997-05-01",1400.32,1414.26,1260.94,1263.93,"12905590000"
"1997",Jun,"1997-06-01",1442.07,1467.29,1375.45,1407.07,"12580930000"
"1997",Jul,"1997-07-01",1593.81,1595.76,1432.42,1442.65,"14331570000"
"1997",Aug,"1997-08-01",1587.32,1638.26,1545.13,1594.67,"13420440000"
"1997",Sep,"1997-09-01",1685.69,1702.49,1595.07,1595.07,"14680150000"
"1997",Oct,"1997-10-01",1593.61,1748.78,1465.84,1690.79,"18850990000"
"1997",Nov,"1997-11-01",1600.55,1654.43,1508.41,1609.62,"11687640000"
"1997",Dec,"1997-12-01",1570.35,1652.84,1486.51,1608.56,"14926610000"
"1998",Jan,"1998-01-01",1619.36,1629.54,1465.61,1574.1,"13738080000"
"1998",Feb,"1998-02-01",1770.51,1783.74,1640.06,1640.06,"14564140000"
"1998",Mar,"1998-03-01",1835.68,1840.83,1708.48,1778.72,"16973400000"
"1998",Apr,"1998-04-01",1868.41,1931.83,1788.74,1838.15,"17292480000"
"1998",May,"1998-05-01",1778.87,1890.8,1742.05,1871.81,"14377770000"
"1998",Jun,"1998-06-01",1894.74,1898.62,1715.04,1770.37,"15899310000"
"1998",Jul,"1998-07-01",1872.39,2028.18,1871.72,1904.24,"17597450000"
"1998",Aug,"1998-08-01",1499.25,1874.31,1498.73,1869.72,"15746140000"
"1998",Sep,"1998-09-01",1693.84,1769.71,1475.49,1509.01,"15884050000"
"1998",Oct,"1998-10-01",1771.39,1781.63,1343.87,1663.3,"19397870000"
"1998",Nov,"1998-11-01",1949.54,2025.04,1771.4,1783.71,"17697660000"
"1998",Dec,"1998-12-01",2192.69,2200.63,1924.15,1928.51,"19075670000"
"1999",Jan,"1999-01-01",2505.89,2506.68,2192.68,2207.54,"20526060000"
"1999",Feb,"1999-02-01",2288.03,2533.44,2224.21,2522.38,"17439250000"
"1999",Mar,"1999-03-01",2461.4,2520.63,2235.19,2286.83,"21196320000"
"1999",Apr,"1999-04-01",2542.86,2677.76,2329.87,2493.07,"23426400000"
"1999",May,"1999-05-01",2470.52,2632.74,2339.12,2546.33,"18519390000"
"1999",Jun,"1999-06-01",2686.12,2696.87,2364.59,2467.51,"19607990000"
"1999",Jul,"1999-07-01",2638.49,2874.92,2619.08,2692.96,"20915660000"
"1999",Aug,"1999-08-01",2739.35,2819.9,2442.22,2638.31,"20246710000"
"1999",Sep,"1999-09-01",2746.16,2897.53,2684.7,2752.33,"21333490000"
"1999",Oct,"1999-10-01",2966.43,2978.63,2632.01,2729.04,"22684970000"
"1999",Nov,"1999-11-01",3336.16,3469.35,2967.63,2970.93,"28754050000"
"1999",Dec,"1999-12-01",4069.31,4090.61,3321.57,3341.1,"31236210000"
"2000",Jan,"2000-01-01",3940.35,4303.15,3711.09,4186.19,"33421060000"
"2000",Feb,"2000-02-01",4696.69,4698.46,3911.84,3961.07,"35644700000"
"2000",Mar,"2000-03-01",4572.83,5132.52,4355.69,4732.82,"43200490000"
"2000",Apr,"2000-04-01",3860.66,4572.84,3227.04,4494.89,"35147970000"
"2000",May,"2000-05-01",3400.91,3982.38,3042.66,3930.18,"30831980000"
"2000",Jun,"2000-06-01",3966.11,4073.73,3459.85,3471.95,"33352380000"
"2000",Jul,"2000-07-01",3766.99,4289.06,3615.79,3950.59,"30916110000"
"2000",Aug,"2000-08-01",4206.35,4208.73,3521.14,3760.95,"33222920000"
"2000",Sep,"2000-09-01",3672.82,4259.87,3614.66,4252.15,"34727330000"
"2000",Oct,"2000-10-01",3369.63,3714.48,3026.11,3714.48,"44129010000"
"2000",Nov,"2000-11-01",2597.93,3480.01,2523.04,3316.51,"38181910000"
"2000",Dec,"2000-12-01",2470.52,3028.75,2288.16,2644.09,"44347190000"
"2001",Jan,"2001-01-01",2772.73,2892.36,2251.71,2474.16,"49399780000"
"2001",Feb,"2001-02-01",2151.83,2796.89,2127.5,2771.57,"36428040000"
"2001",Mar,"2001-03-01",1840.26,2243.78,1794.21,2126.3,"44719260000"
"2001",Apr,"2001-04-01",2116.24,2202.86,1619.58,1835.22,"42649960000"
"2001",May,"2001-05-01",2110.49,2328.05,2052.41,2116.24,"41465750000"
"2001",Jun,"2001-06-01",2160.54,2264.58,1973.7,2131.12,"36577380000"
"2001",Jul,"2001-07-01",2027.13,2181.05,1934.67,2156.76,"32812530000"
"2001",Aug,"2001-08-01",1805.43,2103.16,1777.11,2051.56,"32437350000"
"2001",Sep,"2001-09-01",1498.8,1836.19,1387.06,1802.29,"30829450000"
"2001",Oct,"2001-10-01",1690.2,1792.87,1458.41,1491.45,"43885890000"
"2001",Nov,"2001-11-01",1930.58,1965.09,1683.99,1705.52,"38324730000"
"2001",Dec,"2001-12-01",1950.4,2065.69,1898.98,1915.13,"35539380000"
"2002",Jan,"2002-01-01",1934.03,2098.88,1851.49,1965.18,"39095980000"
"2002",Feb,"2002-02-01",1731.49,1942.15,1696.55,1928.83,"34022690000"
"2002",Mar,"2002-03-01",1845.35,1946.23,1742.08,1745.49,"34619370000"
"2002",Apr,"2002-04-01",1688.23,1865.37,1640.97,1834.59,"38648510000"
"2002",May,"2002-05-01",1615.73,1759.33,1560.29,1683.76,"39802810000"
"2002",Jun,"2002-06-01",1463.21,1621.5,1375.53,1613.5,"36638230000"
"2002",Jul,"2002-07-01",1328.26,1459.84,1192.42,1457.04,"45237670000"
"2002",Aug,"2002-08-01",1314.85,1426.76,1205.68,1322.47,"31490760000"
"2002",Sep,"2002-09-01",1172.06,1347.27,1160.07,1302.67,"29029680000"
"2002",Oct,"2002-10-01",1329.75,1347.58,1108.49,1180.26,"38730160000"
"2002",Nov,"2002-11-01",1478.78,1497.44,1313.72,1320.95,"35673650000"
"2002",Dec,"2002-12-01",1335.51,1521.44,1327.19,1507.94,"29122630000"
"2003",Jan,"2003-01-01",1320.91,1467.35,1303.64,1346.93,"30898030000"
"2003",Feb,"2003-02-01",1337.52,1352.07,1261.79,1324.74,"24374040000"
"2003",Mar,"2003-03-01",1341.17,1425.73,1253.22,1344.21,"31136990000"
"2003",Apr,"2003-04-01",1464.31,1482.49,1338.23,1347.54,"30761430000"
"2003",May,"2003-05-01",1595.91,1599.92,1451.32,1463.0,"38423310000"
"2003",Jun,"2003-06-01",1622.8,1686.1,1584.7,1612.1,"41170990000"
"2003",Jul,"2003-07-01",1735.02,1776.1,1598.92,1617.3,"38212570000"
"2003",Aug,"2003-08-01",1810.45,1813.82,1640.88,1731.63,"30294060000"
"2003",Sep,"2003-09-01",1786.94,1913.74,1783.46,1817.92,"39917180000"
"2003",Oct,"2003-10-01",1932.21,1966.87,1796.09,1797.07,"41226870000"
"2003",Nov,"2003-11-01",1960.26,1992.27,1878.07,1941.31,"34049930000"
"2003",Dec,"2003-12-01",2003.37,2015.23,1887.46,1972.97,"35470880000"
"2004",Jan,"2004-01-01",2066.15,2153.83,1999.77,2011.08,"45972690000"
"2004",Feb,"2004-02-01",2029.82,2094.92,1991.05,2072.13,"35916840000"
"2004",Mar,"2004-03-01",1994.22,2069.02,1896.91,2036.92,"42497500000"
"2004",Apr,"2004-04-01",1920.15,2079.12,1919.39,1996.45,"40153120000"
"2004",May,"2004-05-01",1986.74,1991.87,1865.4,1928.72,"32652780000"
"2004",Jun,"2004-06-01",2047.79,2055.65,1960.26,1978.52,"32602090000"
"2004",Jul,"2004-07-01",1887.36,2045.53,1829.06,2045.53,"35711700000"
"2004",Aug,"2004-08-01",1838.1,1893.13,1750.82,1874.93,"30823660000"
"2004",Sep,"2004-09-01",1896.84,1925.85,1833.33,1833.37,"31295080000"
"2004",Oct,"2004-10-01",1974.99,1984.18,1899.33,1909.59,"35975380000"
"2004",Nov,"2004-11-01",2096.81,2117.89,1969.32,1975.48,"37928210000"
"2004",Dec,"2004-12-01",2175.44,2185.56,2097.86,2104.58,"44379920000"
"2005",Jan,"2005-01-01",2062.41,2191.6,2008.68,2184.75,"43135970000"
"2005",Feb,"2005-02-01",2051.72,2103.45,2023.0,2063.27,"36633150000"
"2005",Mar,"2005-03-01",1999.23,2100.57,1968.58,2057.47,"39780380000"
"2005",Apr,"2005-04-01",1921.65,2021.82,1889.83,2009.09,"37517930000"
"2005",May,"2005-05-01",2068.22,2076.8,1916.03,1923.23,"34223410000"
"2005",Jun,"2005-06-01",2056.96,2106.57,2039.69,2067.23,"36702320000"
"2005",Jul,"2005-07-01",2184.83,2201.39,2050.3,2060.97,"32702310000"
